Name,Distance from Changi Airport in km,Hotel Stars,District,Distance from centre in metres,Number of Reviews,Guest Rating,Price in SGD,Extra Fees,Final Price,Subway Access,Love Hotel
Ibis Budget Singapore Sapphire,12.6,2,Geylang,3800,501,8.10,139,25,164,0,0
Lai Ming Hotel Cosmoland,12,3,Geylang,4300,330,5.90,144,10,154,1,0
Orchard Hotel Singapore,18,5,Orchard,3300,"2,516",8.00,408,72,480,0,0
Hotel 81 Rochor,15.4,2,Little India,1500,"1,200",7.10,207,37,244,1,1
Hotel 81 Bugis,15.5,2,Bugis,850000,811,7.10,253,45,298,1,1
Klapstar Boutique Hotel,18,4,Downtown Singapore,2200,246,7.90,262,46,308,0,0
Ibis Budget Singapore Ruby,12.2,2,Geylang,4100,"1,599",7.40,127,22,149,1,0
Q Loft Hotels@Bedok,4.7,3,Kovan,11000,172,7.20,261,26,287,1,0
Golden Star Hotel,12.7,1,Geylang,3600,401,7.20,154,11,165,0,0
Holiday Inn Express Singapore Orchard Road,17.2,3,Orchard,2200,"1,713",8.60,368,65,433,1,0
Hotel 81 Chinatown,17.3,2,Chinatown,1100,"1,171",7.10,270,48,318,1,1
Parc Sovereign Hotel - Albert St,15.7,4,Bencoolen,1500,893,7.60,244,43,287,1,0
Travelodge Harbourfront Singapore,20.2,4,Bukit Merah,4200,"1,264",8.10,293,52,345,1,0
Diamond Hotel,12.3,2,Geylang,4000,388,5.90,156,0,156,0,0
Park Regis Singapore,17,4,Clarke Quay,900000,"2,659",8.50,374,66,440,1,0
Singapore Marriott Tang Plaza Hotel,17.6,5,Orchard,2800,437,8.40,535,95,630,1,0
One Farrer Hotel,15,5,Farrer Park,2500,"1,718",9.10,424,75,499,1,0
Village Hotel Albert Court by Far East Hospitality,15.7,4,Bencoolen,1600,"2,687",8.10,274,48,322,1,0
Hotel 1888 Collection,17.4,3,Chinatown,1200,756,8.50,266,47,313,1,0
Holiday Inn Singapore Orchard City Centre,16.8,4,Orchard,1900,"3,120",8.60,373,66,439,1,0
Ibis Budget Singapore Selegie,15.8,3,Selegie,1500,"2,159",7.80,205,36,241,1,0
Link Hotel Singapore,18.2,4,Tiong Bahru,2100,223,7.10,232,41,273,0,0
Q Loft Hotel1929@Chinatown,17.7,3,Chinatown,1600,"1,285",7.80,254,45,299,1,0
Santa Grand Hotel East Coast,10,4,Katong,6000,458,8.20,266,47,313,0,0
The Inn at Temple Street,17.3,3,Chinatown,1200,"1,093",7.00,204,36,240,1,0
Concorde Hotel Singapore,16.8,4,Orchard,1600,873,8.00,378,67,445,1,0
Peninsula Excelsior Hotel,16.4,4,City Hall,300000,"3,210",7.50,335,59,394,1,0
Ibis Budget Singapore Joo Chiat,10.3,2,Katong,5000,750,7.90,125,22,147,0,0
Hotel Soloha @ Chinatown,17.7,4,Chinatown,1600,53,8.80,366,65,431,1,0
"Oasia Hotel Downtown, Singapore by Far East Hospitality",17.7,4,Chinatown,1900,"2,112",8.90,408,72,480,1,0
"Capri by Fraser China Square, Singapore",17,4,Chinatown,900000,91,9.00,360,64,424,1,0
The Westin Singapore,16.9,5,Marina Bay,1400,585,8.90,588,104,692,1,0
five/6 Hotel Splendour,12.8,4,Geylang,3500,213,8.30,257,0,257,0,0
Aliwal Park Hotel,14.8,2,Kampong Glam,1800,571,6.40,147,0,147,0,0
Park Avenue Rochester,22.3,4,Queenstown,7000,766,8.40,303,54,357,1,0
Hotel NuVe Urbane,14.8,4,Lavender,2000,806,8.10,305,54,359,1,0
Ibis Singapore Novena,15.6,3,Novena,4100,845,7.50,232,41,273,0,0
Park Hotel Alexandra,21.1,4,Bukit Merah,5000,"1,156",8.50,306,54,360,0,0
K Hotel 14,12.7,3,Geylang,3700,159,5.40,155,27,182,0,0
Venue Hotel The Lily,10.3,3,Katong,5000,"1,389",7.70,192,34,226,0,0
SO/ Sofitel Singapore,16.9,5,Marina Bay,1200,742,8.80,468,83,551,1,0
Hotel NuVe Heritage,15.6,4,Bugis,800000,725,8.30,334,59,393,1,0
The Keong Saik Hotel,17.7,3,Chinatown,1600,658,7.80,232,41,273,1,0
Grand Park Orchard,17.2,5,Orchard,2200,971,8.30,596,105,701,1,0
Broadway Hotel,15.3,2,Farrer Park,2100,642,6.90,173,12,185,1,0
Ramada by Wyndham Singapore at Zhongshan Park,15.7,4,Novena,4200,"1,283",8.20,323,57,380,0,0
Marrison @ Desker,15.1,3,Little India,2100,494,5.80,159,28,187,1,0
Sandpiper Hotel,15.4,3,Little India,1600,556,6.20,161,29,190,1,0
The Daulat,15.5,4,Little India,1600,275,7.50,226,40,266,1,0
Hotel Clover 33 Jalan Sultan,14.7,4,Kampong Glam,1700,"1,425",7.80,262,46,308,1,0
Pasir Panjang Inn,24.7,2,Queenstown,9000,423,6.50,167,30,197,0,0
Regent Singapore,18.4,5,Orchard,3400,777,8.70,420,74,494,0,0
AMOY by Far East Hospitality,16.8,4,Chinatown,900000,546,9.10,572,101,673,1,0
Kam Leng Hotel,14.5,3,Lavender,2700,242,7.00,147,26,173,1,0
Butternut Tree Hotel,17.7,3,Chinatown,1600,405,7.70,232,41,273,1,0
OYO 106 Beach Hotel,15.4,2,Bugis,950000,613,7.40,202,36,238,1,0
W Singapore - Sentosa Cove,19.6,5,Sentosa Island,5000,"1,326",8.70,924,164,1088,0,0
RedDoorz @ Aljunied,12.3,3,Geylang,4000,349,7.00,158,11,169,0,0
Capella Singapore,21.1,5,Sentosa Island,5000,698,8.90,1720,304,2024,0,0
VIP Hotel,17.1,3,Orchard,3500,337,7.70,232,41,273,0,0
Fragrance Hotel - Oasis,15.3,2,Novena,4000,596,7.40,125,22,147,0,1
Quincy Hotel by Far East Hospitality,17.2,4,Orchard,2600,"1,335",9.10,443,78,521,0,0
Hotel 81 Selegie,15.8,2,Selegie,1500,500,6.60,228,40,268,1,1
Bliss Hotel Singapore,17.2,3,Chinatown,1100,943,8.20,250,44,294,1,0
K Hotel 12,12.7,3,Geylang,3700,179,5.70,178,32,210,0,0
Santa Grand Hotel West Coast,24.8,3,Queenstown,9000,166,7.20,204,36,240,0,0
The Fullerton Bay Hotel Singapore,16.5,5,Marina Bay,900000,555,9.40,1307,231,1538,1,0
RedDoorz Plus @ Little India,15.3,3,Little India,1700,25,7.30,288,51,339,1,0
Harbour Ville Hotel,19.5,3,Bukit Merah,3400,521,6.90,203,36,239,0,0
Ibis Budget Singapore Pearl,12.5,2,Geylang,3900,"1,269",7.30,151,27,178,0,0
Hotel 81 Palace,12.4,2,Geylang,4000,650,6.80,195,35,230,0,1
JW Marriott Hotel Singapore South Beach,15.6,5,City Hall,650000,591,8.60,608,108,716,1,0
ZEN Rooms 1515,12.5,1,Geylang,3900,520,6.80,150,27,177,0,0
Lloyd's Inn,17.1,3,Downtown Singapore,1500,"1,284",8.60,337,60,397,1,0
Aqueen Hotel Paya Lebar,10.8,3,Geylang,5000,336,7.80,233,41,274,1,0
ST Signature Chinatown,17.3,3,Chinatown,1200,91,9.10,253,0,253,1,0
Wangz Hotel,18.2,4,Tiong Bahru,2000,422,8.80,343,61,404,0,0
Hotel Grand Pacific,15.8,4,Victoria,800000,634,7.50,273,48,321,1,0
Aqueen Heritage Hotel Joo Chiat,10.3,3,East Coast,5000,197,8.10,211,37,248,0,0
Hotel 81 Kovan,11.7,2,Kovan,7000,452,6.80,202,36,238,0,1
Populous Hotel @ Bugis,15.5,3,Bugis,850000,129,7.50,218,39,257,1,0
Dorsett Singapore,17.9,4,Chinatown,1900,"1,756",8.20,340,60,400,1,0
Ji Hotel Orchard Singapore,16.6,4,Dhoby Ghaut,1200,14,8.50,270,48,318,1,0
Arcadia Hotel,14.3,4,Lavender,2600,788,8.10,225,40,265,1,0
Hotel Clover 5 HongKong Street,16.7,4,Boat Quay,600000,824,7.90,248,44,292,1,0
Hotel Yan,14.4,3,Lavender,2600,437,8.10,235,42,277,1,0
Hotel 81 Cosy,17.7,2,Chinatown,1600,580,6.90,253,45,298,1,1
The Southbridge Hotel,17.1,3,Chinatown,1100,"1,058",7.90,217,38,255,1,0
Fragrance Hotel - Ocean View,24.8,2,Queenstown,9000,84,6.90,171,30,201,0,1
Golden Royal Hotel,15.1,2,Little India,2100,846,6.90,150,26,176,1,0
The Haven by JetQuay,0.5,3,Changi,16000,318,7.80,497,88,585,1,0
Champion Hotel,10.4,3,Katong,5000,"1,023",7.90,167,30,197,0,0
The Sultan,14.7,4,Kampong Glam,1800,569,8.30,250,44,294,1,0
Hotel Mono,17.2,3,Chinatown,1100,"1,358",8.20,355,63,418,1,0
Ibis Budget Singapore Mount Faber,21,2,Bukit Merah,4800,335,7.20,155,27,182,1,0
Hotel 81 Sakura,10.3,2,Katong,5000,698,7.10,211,37,248,0,1
Orchard Rendezvous Hotel by Far East Hospitality,18.1,4,Orchard,3300,"2,394",8.20,324,57,381,0,0
